순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사,줄거리,장르
11,메이즈 러너,2014-09-18,21489367677,0.026,2812427,648.0,미국,미국,이십세기폭스코리아(주),"삭제된 기억, 거대한 미로로 둘러싸인 낯선 공간
모든 기억이 삭제된 채 의문의 장소로 보내진 ‘토마스’(딜런 오브라이언).
‘토마스’는 미로에 갇힌 그곳에서 자신과 같은 상황의 사람들을 만난다.

그들은 매일 밤 살아 움직이는 미로에서 정체를 알 수 없는 죽음의 존재와 대립하며,
지옥으로부터 빠져나갈 탈출구인 지도를 완성해 나간다.
그러던 어느 날, 미로의 문이 열리고 그들은 마지막 선택의 기로에 놓이게 되는데…

단 한 순간도 예측할 수 없는 그 곳, 과연 그들은 살아남을 수 있을 것인가!
살아 움직이는 미로를 뚫고 탈출에 성공할 수 있을 것인가!
살아 남기 위해서는 뛰어야 한다!","액션,미스터리,SF,스릴러"
12,호빗: 다섯 군대 전투,2014-12-17,21428483344,0.026,2509887,926.0,미국,"미국,뉴질랜드",워너브러더스 코리아(주),"누군가는 죽고 누군가는 승리한다!

빌보 배긴스, 참나무 방패 소린, 난쟁이 족이 떠난 거대한 여정 끝, 난쟁이 족은 원래 자신들의 터전이던 에레보르에 있는 엄청난 보물을 되찾지만 이는 무시무시한 용 스마우그가 호수마을의 무기력한 주민들을 공격하게 되는 결과를 낳는다. 산 아래의 왕 참나부 방패 소린은 탐욕에 서서히 눈이 멀어 우정과 명예를 저버린 채 왕의 보물 아르켄스톤을 찾는다. 소린이 이성을 되찾도록 설득하는데 실패한 빌보는 훨씬 험난한 일이 펼쳐질 줄 모른 채 절박하고 위험한 결정을 내린다. 오래된 적이 중간계로 돌아온 것. 암흑의 군주 사우론은 오크 군대를 보내 외로운 산에 기습 공격을 감행한다. 고조된 긴장감 속에 어둠이 깔리자 난쟁이, 엘프, 인간은 단합할 것인지 말살될 것인지 택해야 한다. 마침내 다섯 군대의 전투가 시작되고 빌보는 본인과 친구들의 목숨을 걸고 싸워야만 하는데…","어드벤처,판타지"
13,논스톱,2014-02-27,16066174940,0.019,2084457,582.0,미국,"미국,프랑스",(주)넥스트엔터테인먼트월드(NEW),"실.제.상.황! 사상 최악의 테러 발생! 공중납치는 시작에 불과했다!
4만 피트 상공, 뉴욕발 비행기 안.
“1억 5천만 달러를 입금하지 않으면,
20분마다 한 명씩 죽이고 항공기를 폭파시키겠다.”
미 항공수사관 ‘빌’(리암 니슨)은 의문의 메시지를 받게 되고
그로부터 정확히 20분 후, 승객 중 한 명이 살해당하는 테러가 발생한다.
탑승객 전원이 용의자인 가운데, ‘빌’은 범인을 찾기 위한 사투를 시작하지만,
오히려 테러범으로 몰리게 되고 결국 놈이 약속한 시간은 점점 다가오는데..
강한 남자 리암 니슨, 이젠 공중에서 끝내버린다!",액션
14,인투 더 스톰,2014-08-28,16155930332,0.019,2078492,585.0,미국,미국,워너브러더스 코리아(주),"“맙소사, 저거 보여?!”
모든 것을 집어삼킨다!

갑작스런 기상 이변으로 발생한 수퍼 토네이도가 오클라호마의 실버톤을 덮쳐 쑥대밭으로 만든다. 사람들은 최대풍속 초속 300m의 여객기마저 날려버리는 비바람과 하늘로 솟아오른 불기둥, 토네이도가 진공청소기처럼 모든 것을 빨아들이는 사상 최대 재난을 겪는다. 한편, 고등학교 교감인 게리(리처드 아미티지)는 졸업식장에서 사라진 아들을 찾기 위해 나서고, 전설의 토네이도를 직접 눈 앞에서 촬영하기 위해 기상학자와 스톰 체이서가 몰려드는데…","액션,스릴러"
15,노아,2014-03-20,15514083500,0.018,2026574,952.0,미국,미국,(주)씨제이이엔엠,"신께서 인간의 죄악을 보고 한탄하사, ‘내가 그들을 땅과 함께 멸하리라’ 하시니라.(성경 창세기 인용)
타락한 인간 세상에서 신의 계시를 받은 유일한 인물 ‘노아’(러셀 크로우).
그는 대홍수로부터 세상을 구할 있는 거대한 방주를 짓기 시작한다.
방주에 탈 수 있는 이는 생명이 있는 모든 존재의 암수 한 쌍과 노아의 가족들 뿐.
하지만 세상 사람들은 ‘노아’의 방주를 조롱하기 시작하고
가족들간의 의견 대립마저 생겨나는데..
세상을 집어삼킬 대홍수의 시작!
가족과 새로운 세상을 지켜내기 위한 ‘노아’의 드라마틱한 삶이 펼쳐진다!","어드벤처,드라마,판타지"
16,루시,2014-09-03,16468076039,0.02,1974893,641.0,미국,"미국,프랑스",유니버설픽쳐스인터내셔널 코리아(유),"10%, 인간의 평균 뇌사용량
22%, 신체의 완벽한 통제
40%, 모든 상황의 제어 가능
62%, 타인의 행동을 컨트롤
100%, 한계를 뛰어넘는 액션의 진화가 시작된다!
평범한 삶을 살던 여자 루시(스칼렛 요한슨)는 어느 날 지하세계에서 극악무도하기로 유명한 미스터 장(최민식)에게 납치되어, 몸 속에 강력한 합성 약물을 넣은 채 강제로 운반하게 된다. 다른 운반책들과 같이 끌려가던 루시는 갑작스런 외부의 충격으로 인해 몸 속 약물이 체내로 퍼지게 되면서, 그녀 안의 모든 감각이 깨어나기 시작하는데…",액션
17,나를 찾아줘,2014-10-23,14017716731,0.017,1764233,658.0,미국,미국,이십세기폭스코리아(주),"우리부부는 누구나 부러워하는 ‘완벽한 커플’이었다.

그날, 아내가 사라지기 전까지…

모두가 부러워하는 삶을 살아가는 완벽한 커플 닉&에이미.

결혼 5주년 기념일 아침, 에이미가 흔적도 없이 실종된다.

유년시절 어린이 동화시리즈 ‘어메이징 에이미’의 실제 여주인공이었던

유명인사 아내가 사라지자, 세상은 그녀의 실종사건으로 떠들썩해진다.

한편, 경찰은 에이미가 결혼기념일 선물로 숨겨뒀던 편지들을 통해

그들이 권태기를 겪는 쇼윈도 커플임을 알게 되고

드러나는 단서들은 남편 닉을 유력한 용의자로 가리킨다.

취재거리가 생긴 미디어들은 닉의 일거수일투족을 보도하면서 그를 살인용의자로 지목하는데…

과연 닉은 아내를 죽였을까? 서로를 의심하는 순간에 찾아온 진실은 밝혀질까?",스릴러
18,300: 제국의 부활,2014-03-06,13395159700,0.016,1593116,720.0,미국,미국,워너브러더스 코리아(주),"역사상 최고의 해전! 위대한 전사들이 더 강력하게 돌아온다!
<300> <맨 오브 스틸> 잭 스나이더 각본 / 제작.
<300>의 테르모필레 전투 후,
아르테미지움에서 벌어지는 페르시아 해군과 그리스 해군의 전투인 살라미스 해전을 다룬 내용","액션,드라마,전쟁"
19,엑소더스: 신들과 왕들,2014-12-03,12442681926,0.015,1511195,865.0,미국,"미국,영국,스페인",이십세기폭스코리아(주),"<글래디에이터>를 잇는 대서사 블록버스터가 온다!
형제에서 적이 된 두 남자의 역사상 가장 위대한 대결!

인간이 신처럼 군림하던 시대, 이집트 왕국에서 형제로 자란 ‘모세스’와 ‘람세스’.
생지옥 같은 노예들의 삶에 분노하게 된 ‘모세스’는
스스로 신이라 믿는 제국의 왕 ‘람세스’와 정면으로 맞서게 되고,
결국 자신이 400년간 억압받던 노예들을 이끌 운명임을 깨닫게 된 ‘모세스’는
자유를 찾기 위해 이집트 탈출을 결심하는데…",드라마
20,말레피센트,2014-05-29,10776965900,0.013,1397526,554.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),"“16세가 되는 날, 날카로운 물레 바늘에 찔려 깊은 잠에 빠지리라!”
가장 강력한 마법을 가진 숲의 수호자 말레피센트는 인간왕국과의 거대한 전쟁의 소용돌이 속에서 왕국을 다스리는 스테판 왕의 딸 ‘오로라 공주’의 세례식 날, 거부할 수 없는 치명적인 저주를 내리는데….
디즈니 역사상 가장 사악한 마녀가 온다!","액션,어드벤처,드라마"
21,폼페이: 최후의 날,2014-02-20,10303127700,0.012,1373873,561.0,미국,"미국,독일",롯데쇼핑㈜롯데엔터테인먼트,"사상 최대의 화산 폭발!가장 화려했으나, 단 하루 만에 지도에서 사라진 도시 ‘폼페이’!
역사가 기록하지 못한 전설의 사랑이 깨어난다!
시간이 멈춰버린 도시, 폼페이.
이탈리아 남부 나폴리만 연안에 있던 고대도시 폼페이는 로마 상류계급의 휴양지이자 무역이 활발했던 아름다운 항구 도시이다.
79년 8월 24일, 베수비오 화산의 대폭발로 발생한 약 4m 높이의 화산재가 순식간에 폼페이 시가지를 덮쳤고, 약 18시간 후 폼페이는 수천 명의 사망자와 천문학적 규모의 피해를 기록하며 지도 상에서 사라진 도시가 되었다.
이후 1592년 인간 화석이 발견되면서 역사에서 퇴장했던 폼페이가 다시 등장한다. 1748년부터 본격적인 발굴 작업이 시작되어 지금까지 계속되고 있으며, 현재는 도시의 약 5분의 4가 모습을 드러낸 상태이다.","액션,어드벤처,드라마"
22,퓨리,2014-11-20,10367640686,0.012,1362114,590.0,미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),"2차 세계대전, 전차부대를 이끄는 대장 ‘워대디’에게
적으로 둘러싸인 최전선에서의 마지막 전투 명령이 떨어진다.

하지만 수 차례의 전투로 대부분의 동료를 잃은 그에겐
단 한 대의 탱크 ‘퓨리’와 지칠 대로 지쳐버린 부대원들만이 남아있을 뿐이다.
게다가 지원군으로 경력이 전무한 신병 ‘노먼’이 배치되고,
‘워대디’는 신참을 포함한 단 4명의 부대원만으로 적진에 나서야 하는 상황에 처한다.

수백 명의 적들과 맞서야 하는 단 5인의 병사.
최소의 인원과 최악의 조건 속, 사상 최대 위기에 처한 ‘워대디’와 그의 부대는
생존 가능성 제로, 최후의 전쟁터로 향하는데…!

전설이 된 그들의 마지막 전쟁이 시작된다!","액션,드라마,전쟁"
23,드라큘라: 전설의 시작,2014-10-08,10607703908,0.013,1321751,477.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),"악에 맞서기 위해 스스로 어둠의 길을 선택한 영웅!

강인한 군주이자 아버지 그리고 위대한 영웅, 드라큘라 백작은 백성들을 평화로 다스리며 절대적인 신임을 받는다.
하지만 막강한 군대를 앞세운 투르크 제국의 술탄이 세상을 정복하기 위한 야욕을 드러내며 복종의 대가로
사내아이 1천 명을 요구하자, 분노한 드라큘라는 그들과의 전쟁을 선포한다.
압도적인 전력의 투르크 대군을 물리치기 위한 유일한 방법으로 그는 전설 속 악마를 찾아가
절대적인 힘을 얻고 자신을 담보로 한 위험한 계약을 하고 만다.
스스로 어둠의 존재가 되는 것을 선택한 그에게 주어진 시간은 단 3일.
피할 수 없는 악마의 저주로부터 벗어나 그는 세상을 구원할 영웅이 될 수 있을 것인가…","판타지,액션"
24,가디언즈 오브 갤럭시,2014-07-31,11098239184,0.013,1311190,539.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),"자칭 전설의 무법자 스타로드, 그러나 현실은 우주를 떠도는 그저그런 좀도둑에 불과한 피터 퀼(크리스 프랫).
뜻하지 않게 갤럭시의 절대악 타노스와 로난의 타겟이 된 그는 감옥에서 만난 암살자 가모라(조 샐다나), 거구의 파이터 드랙스(데이브 바티스타), 현상금 사냥꾼 로켓(브래들리 쿠퍼)과 그루트(빈 디젤) 콤비와 불편한 동맹을 맺고 일명 ‘가디언즈 오브 갤럭시’를 결성한다.
범상치 않은 화려한 과거를 지닌 이들이 과연 120억 명의 운명을 구할 유일한 희망이 될 수 있을까?

흩어지면 무법자, 뭉치면 히어로
차원이 다른 마블의 새로운 세계를 목격하라!","액션,어드벤처,SF"
25,로보캅,2014-02-13,7299641958,0.009,979509,627.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),"범죄와 무질서로 혼란에 빠진 도시.
좋은 아빠이자 실력 있는 경찰로 평범하게 살아가던 ‘알렉스 머피’는
예기치 못한 사고로 인해 온 몸에 치명적 부상을 입는다.

로봇 테크놀로지의 기술을 가진 다국적 기업 ‘옴니코프’ 사는 아내 ‘클라라’에게
‘머피’의 몸에 최첨단 하이테크 수트를 장착할 것을 제안하고,
그녀는 목숨을 잃을 위기에 놓인 남편을 살리기 위해 그 요청을 받아들인다.

모두가 기다려온 완벽한 히어로 ‘로보캅’으로 재탄생한 머피는
‘옴니코프’사의 체계적 훈련을 받으며 더욱 강력해지고,
‘클라라’는 기계처럼 변해버린 남편의 모습에 혼란스러워 한다.

한 치의 오차 없는 수트의 통제를 받으며 명령을 따라야 하는 ‘로보캅’.
하지만 그는 점차 스스로 수트를 지배하기 시작하고
그와 동시에 자신을 새롭게 태어나게 한 수트와 도시 이면에
거대한 음모가 숨겨져 있음을 깨닫게 되는데...!

그는 인간인가? 로봇인가?
새로운 히어로가 세상을 심판한다!","액션,SF"
26,애나벨,2014-10-02,7083492943,0.008,926027,464.0,미국,미국,워너브러더스 코리아(주),"‘컨저링’ 1년 전, ‘애나벨’이 있었다...
-1971년 워렌 부부, 로드 아일랜드에 거주하는 페론 가족에게 일어난 초자연적 사건 해결
-1968년 워렌 부부, ‘애나벨’ 사건 해결
-1967년 캘리포니아의 신혼부부, ‘애나벨’ 구매
..‘컨저링’의 1년 전!
존은 임신 중인 아내 미아에게 흰색의 드레스를 입은 빈티지 인형을 선물한다. 그날 밤, 낯선 부부가 침입해 존과 미아를 공격한다. 한참의 격투 끝에 발견된 건 인형을 무릎 위에 놓고 죽어있는 여인. 여인에게서 흘러내린 피가 인형의 얼굴로 스며들어가는데… 한 달에 한 번, 신부님이 기도로 그 안의 악령을 다스린다는 ‘애나벨’은 그렇게 태어난다...",공포(호러)
27,헝거게임: 모킹제이,2014-11-20,6400058044,0.008,854377,630.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,"캐피톨 VS 13구역 혁명군
게임은 끝났다! 물러설 수 없는 정면승부가 시작된다!
헝거게임이 끝나고 캣니스의 고향인 12구역이 캐피톨의 폭격으로 파괴되자 그녀는 절망감으로 괴로워한다. 12구역의 생존자들이 13구역에 있다는 것을 알게 된 캣니스는 반정부 세력의 중심이 된다. 어떤 공격도, 어떤 감시도 피할 수 있는 전설의 13구역을 다스리는 대통령 코인은 캣니스에게 혁명의 불꽃이자 반군의 상징인 모킹제이가 되어달라고 부탁하고, 모두의 희망이 된 캣니스는 이제 세상을 구할 반격을 시작한다.","어드벤처,SF,스릴러"
28,월터의 상상은 현실이 된다,2013-12-31,6134526799,0.007,834393,378.0,미국,미국,"글뫼 주식회사,이십세기폭스코리아(주)","해본 것 없음, 가본 곳 없음, 특별한 일 없음!
아직도 상상만 하고 계신가요?

자신의 꿈은 접어둔 채 16년째 '라이프' 잡지사에서 포토 에디터로 일하고 잇는 월터 미티
해본 것도, 가본 곳도, 특별한 일도 없는 월터의 유일한 취미는 바로 상상!
상상 속에서만큼은 '본 시리즈'보다 용감한 히어로, '벤자민 버튼'보다 로맨틱한 사랑의 주인공이 된다.

어느 날, '라이프'지의 폐간을 앞두고
전설의 사진작가가 보내온 마지막 표지 사진이 사라지는 일이 벌어진다.
당장 사진을 찾아 오지 못할 경우 직장에서 쫓겨날 위기에 처하기 된 월터는
사라진 사진의 미스터리를 풀기 위해 연락조차 닿지 않는 사진작가를 찾아 떠다는데...

지구 반대편 여행하기, 바다 한가운데 헬기에서 뛰어내리기, 폭발직전 화산으로 돌진하기 등
한번도 뉴욕을 벗어나 본 적 없는 월터는 전혀 예상지 못한 곳에서
상상과는 비교도 안 되는 수많은 어드벤처를 겪으면서 생애 최고의 순간을 맞이하게 되는데...

당신이 망설이고 있는 그 순간, 월터의 상상은 현실이 된다!","어드벤처,코미디,드라마"
29,그랜드 부다페스트 호텔,2014-03-20,6014299982,0.007,773887,163.0,미국,"미국,독일","(주)피터팬픽쳐스,이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사","세계 최고 부호 마담 D.의 피살사건!
범인은 전설적인 호텔 지배인이자 그녀의 연인 구스타브?!

1927년 세계대전이 한창이던 어느 날, 세계 최고 부호 ‘마담 D.(틸다 스윈튼)’가 ‘그랜드 부다페스트 호텔’에 다녀간 지 얼마 지나지 않아 의문의 살인을 당한다. 그녀는 유언을 통해 가문 대대로 내려오던 명화 ‘사과를 든 소년’을 전설적인 호텔 지배인이자 연인 ‘구스타브(랄프 파인즈)’ 앞으로 남긴다.
마담 D.의 유산을 노리고 있던 그의 아들 ‘드미트리(애드리언 브로디)’는 구스타브를 졸지에 유력한 용의자로 지목하게 되고, 구스타브는 충실한 호텔 로비보이 ‘제로(토리 레볼로리)’와 함께 누명을 벗기기 위한 기상천외한 모험을 시작한다.
한편, 드미트리는 그녀의 유품과 함께 ‘그랜드 부다페스트 호텔’까지 차지하기 위해 무자비한 킬러 ‘조플링(윌렘 대포)’를 고용하기에 이르는데…

기상천외하고 미스터리한 사건의 세계!
전세계가 경험할 황홀한 모험에 초대합니다!","미스터리,어드벤처"
30,리오 2,2014-05-01,5668239900,0.007,765713,598.0,미국,미국,이십세기폭스코리아(주),"이번엔 아마존이다!
지루할 새가 없는 정글 어드벤처!

사람과 함께 사는 도시형 앵무새 '블루' 가족이 무시무시한 아마존 정글로 모험을 떠나게 되고,
그곳에서 맞닥뜨린 복수에 불타오르는 악당 '나이젤'과 야생 친구들의 공격에 맞서는 다이나믹한 3D 정글 어드벤처.","애니메이션,코미디,어드벤처"
31,"안녕, 헤이즐",2014-08-13,5833905000,0.007,749146,323.0,미국,미국,이십세기폭스코리아(주),"둘이 합쳐 폐는 1.5개, 다리는 3개
호흡기조차 사랑스러운 ‘헤이즐’, 걸음걸이조차 매력적인 ‘어거스터스’
산소통을 캐리어처럼 끌고 호흡기를 생명줄처럼 차고 있는 헤이즐. 집에 틀어박혀 리얼리티 쇼나 보며 하루를 축내는 자신을 걱정하는 가족에게 등 떠밀려 어쩔 수 없이 참석한 암 환자 모임에서 꽃미소가 매력적인 어거스터스를 만난다. 담배를 입에 물었지만 불은 붙이지 않는 ‘상징적인 행동’으로 헤이즐의 맹비난을 재치있게 받아넘긴 어거스터스는 시크하고 우울증마저 겪는 헤이즐을 두근거리게 만든다.

무한 설렘주의! 무엇도 방해할 수 없는 예측불허 로맨스~
두 사람은 소설책을 나눠 읽으며 급속도로 가까워지고, 어거스터스는 헤이즐이 그토록 좋아하는 네덜란드의 작가를 만나게 해주기 위해 ‘지니의 소원’을 빌어 암스테르담 여행을 제안한다. 가족과 주변의 걱정과 만류에도 불구하고 생애 처음으로 여행길에 오른 두 사람. 자신을 시한폭탄이라 생각하고 사랑하는 것들 과 선을 그었던 그녀와, 거절당할까 두려워 진실을 감춰왔던 어거스터스는 서로에게 속마음을 털어놓기 시작하는데... 예측불허 이들의 사랑은 어떻게 될까?

8월, 전세계를 사로잡은 어마어마한 로맨스가 온다!","드라마,멜로/로맨스"
32,고질라,2014-05-15,5972847963,0.007,709734,610.0,미국,미국,워너브러더스 코리아(주),"인간의 과학적 오만이 잉태한 두려운 미래가 다가온다.
인류의 생존을 위협할 존재로부터 인류는 살아남을 수 있을 것인가?","액션,SF"
33,트랜센던스,2014-05-14,5478201500,0.007,696412,417.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,"인간의 두뇌가 업로드된 슈퍼컴 ‘트랜센던스’
당신의 그 어떤 상상도 이 영화를 초월하지 못한다!
인류가 수억 년에 걸쳐 이룬 지적능력을 초월하고 자각능력까지 가진 슈퍼컴 ‘트랜센던스’의 완성을 목전에 둔 천재 과학자 ‘윌’(조니 뎁)은 기술의 발전은 인류의 멸망이라 주장하는 반(反) 과학단체 ‘RIFT’의 공격을 당해 목숨을 잃는다. 연인 ‘에블린’(레베카 홀)은 윌의 뇌를 컴퓨터에 업로드 시켜 그를 살리는데 성공하지만, 또 다른 힘을 얻은 그는 온라인에 접속해 자신의 영역을 전 세계로 넓혀가기 시작하는데…","SF,액션,드라마"
